Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
C5H4	C5H4	NoData	NoData	NoData	NoData	5887	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C5H2 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C5H4+	C5H4+	72672-22-1	InChI=1S/C5H4/c1-3-5-4-2/h1-2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6H3	C6H3	NoData	NoData	725.07±8	298	6237	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C6H2 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C6H3+	C6H3+	NoData	InChI=1S/C6H3/c1-3-5-6-4-2/h1H,2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6N2H+	C6N2H+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7H2	C7H2	117992-79-7	InChI=1S/C7H2/c1-3-5-7-6-4-2/h1H2	NoData	NoData	6587	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C7H + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C7H2+	C7H2+	129066-06-4	InChI=1S/C7H2/c1-3-5-7-6-4-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC7N+	C7HN+	129066-55-3	InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C8H	C8H	NoData	InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H	1230±100	298	6937	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C7H+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C8H-	C8H-	NoData	InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C8H+	C8H+	NoData	InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C8N	C8N	129066-35-9	NoData	NoData	NoData	7200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CN + 7C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C8N+	C8N+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C9	C9	129066-02-0	InChI=1S/C9/c1-3-5-7-9-8-6-4-2	1563.57±8	298	7200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C8 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C9-	C9-	119128-42-6	InChI=1S/C9/c1-3-5-7-9-8-6-4-2/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C9+	C9+	NoData	InChI=1S/C9/c1-3-5-7-9-8-6-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3C4H	CH3C4H	4911-55-1	InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3	NoData	NoData	5887	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C5H4 The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3OCH3	CH3OCH3	115-10-6	InChI=1S/C2H6O/c1-3-2/h1-2H3	-183.935±0.45	298	3150	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH3+CH3+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3OCH3+	CH3OCH3+	NoData	InChI=1S/C2H6O/c1-3-2/h1-2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C10	C10	115424-14-1	InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2	1665±12.5	298	8000	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C9 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C10-	C10-	130390-65-7	InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C10+	C10+	NoData	InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H5OH2+	C2H5OH2+	NoData	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3COCH3	C2H6CO	67-64-1	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	-214.814±0.37	298	3500	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH3+CH3+CO The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H6CO+	C2H6CO+	NoData	InChI=1S/C3H6O/c1-3(2)4/h1-2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3H5CN	C3H5CN	109-75-1	InChI=1S/C4H5N/c1-2-3-4-5/h2H,1,3H2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3H5NH+	C3H5NH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H5CHO	C3H6O	123-38-6	1S/C3H6O/c1-2-3-4/h3H,2H2,1H3	-189	0	4500±1350	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C3H7	C3H7	2143-61-5	InChI=1S/C3H7/c1-3-2/h1,3H2,2H3	101.32±1	298	3100±930	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C3H7	C3H7	2143-61-5	InChI=1S/C3H7/c1-3-2/h1,3H2,2H3	101.32±1	298	5637	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H6+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3H7+	C3H7+	NoData	InChI=1S/C3H7/c1-3-2/h1,3H2,2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H5N+	C4H5N+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2CHCHCH2	C4H6	106-99-0	InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2	110.834±8	298	5987	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C4H5+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4H6+	C4H6+	106-99-0	InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H4N+	C5H4N+	NoData	InChI=1S/C5H4N/c1-2-3-4-5-6/h4H,1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H5	C5H5	78596-31-3	InChI=1S/C5H5/c1-3-5-4-2/h1,4-5H,2H2	384.93±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H5+	C5H5+	NoData	InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6H4	C6H4	NoData	NoData	523.105±8	298	6687	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C6H3 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C6H4+	C6H4+	70220-84-7	InChI=1S/C6H4/c1-3-5-6-4-2/h1-2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7H2N+	C7H2N+	NoData	InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7H3	C7H3	NoData	NoData	NoData	NoData	7037	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C7H2 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C7H3+	C7H3+	NoData	InChI=1S/C7H3/c1-3-5-7-6-4-2/h1H,2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C8H2	C8H2	6165-96-4	InChI=1S/C8H2/c1-3-5-7-8-6-4-2/h1-2H	900±60	298	7387	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C8H+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C8H2+	C8H2+	61866-07-7	InChI=1S/C8H2/c1-3-5-7-8-6-4-2/h1-2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C9H	C9H	NoData	InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H	NoData	NoData	7737	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C8H+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C9H-	C9H-	NoData	InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C9H+	C9H+	NoData	InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C9N	C9N	NoData	InChI=1S/C9N/c1-2-3-4-5-6-7-8-9-10	NoData	NoData	8000	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C7N+C+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C9N+	C9N+	NoData	InChI=1S/C9N/c1-2-3-4-5-6-7-8-9-10/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C9O	C9O	NoData	InChI=1S/C9O/c1-5-7-8(3)9(6-2)10-4	NoData	NoData	7550	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CO + 8C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3C5N	CH3C5N	NoData	InChI=1S/C6H3N/c1-2-3-4-5-6-7/h1H3	NoData	NoData	7880	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of H3C5N+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3OCH4+	CH3OCH4+	NoData	InChI=1S/C2H6O/c1-3-2/h1-2H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C10H	C10H	NoData	InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H	1450±125	298	8450	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C10H-	C10H-	NoData	InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C10H+	C10H+	NoData	InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C10N	C10N	140858-34-0	NoData	NoData	NoData	8800	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CN + 9C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C10N+	C10N+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C11	C11	136250-46-9	InChI=1S/C11/c1-3-5-7-9-11-10-8-6-4-2	1792.06±8	298	9600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C11+	C11+	NoData	InChI=1S/C11/c1-3-5-7-9-11-10-8-6-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3H6OH+	C3H6OH+	NoData	InChI=1S/C3H6O/c1-3(2)4/h1-2H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3H8	C3H8	74-98-6	InChI=1S/C3H8/c1-3-2/h3H2,1-2H3	-104.68±0.29	298	1600±480	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C3H8	C3H8	74-98-6	InChI=1S/C3H8/c1-3-2/h3H2,1-2H3	-104.68±0.29	298	6087	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H7+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3H8+	C3H8+	NoData	InChI=1S/C3H8/c1-3-2/h3H2,1-2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H5NH+	C4H5NH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H7	C4H7	6533831-0	InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3	204.595±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H7+	C4H7+	NoData	InChI=1S/C4H7/c1-3-4-2/h1H3,2H4/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H5N+	C5H5N+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H6	C5H6	2206-23-7	InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3	253.927±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3C6NH+	C6H4N+	NoData	InChI=1S/C6H3N/c1-2-3-4-5-6-7/h1H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
c-C6H5	C6H5	02/01/96	InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H	337.3±0.6	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6H5+	C6H5+	17333-73-2	InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H/q+1	1143.03±0.93	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3C7N+	C7H3N+	NoData	InChI=1S/C7H3N/c1-2-3-4-5-6-7-8/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7H4	C7H4	NoData	InChI=1S/C7H4/c1-3-5-7-6-4-2/h1-2H2	NoData	NoData	7487	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C7H3 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C7H4+	C7H4+	NoData	InChI=1S/C7H4/c1-3-5-7-6-4-2/h1-2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C8H3	C8H3	NoData	NoData	NoData	NoData	7837	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C8H2 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C8H3+	C8H3+	NoData	InChI=1S/C8H3/c1-3-5-7-8-6-4-2/h1H,2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C9H2	C9H2	NoData	InChI=1S/C9H2/c1-3-5-7-9-8-6-4-2/h1H2	NoData	NoData	8187	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C9H+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C9H2+	C9H2+	NoData	InChI=1S/C9H2/c1-3-5-7-9-8-6-4-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
